TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE;WAVEH;WAVED;SWELLH;SWELLD
2010-05-17 12:00:00;N;L;11;20;35;11;202;7;116.6;315;3;0.0;12;30;30.2016;0;0;2;315;2;315
2010-02-17 15:54:00;A;B;34;49;31;38;0;6.51;105.2;22;2;0.0;3;54;31.138461538461538;1.78;0;2;22;0;0
2010-04-14 12:00:00;N;B;2;21;41;44;67;6.6;117.9;45;4;0.0;5;0;27.648000000000003;1.8;0;3;45;3;45
2010-04-14 23:30:00;A;B;5;23;43;0;0;6.6;117.9;45;3;0.0;11;30;30.365217391304352;1.8;0;3;45;3;45
2010-05-21 07:30:00;A;B;12;48;32;41;0;6.6;1085.0;0;5;0.0;8;0;19.5;1.8;0;3;0;3;0
2010-05-09 13:00:00;A;B;0;0;0;0;0;6.6;117.8;315;3;0.0;1;0;44.64;1.8;0;2;315;2;315
2010-02-24 12:00:00;N;L;18;9;40;45;337;8.47;115.9;315;4;0.0;25;0;27.6384;0;0;3;315;3;315
2010-02-24 15:48:00;A;L;17;39;40;56;0;6.6;116.3;315;2;0.0;3;48;0.0;2;0;2;315;0;0
2010-03-21 12:00:00;N;L;7;7;46;45;22;9.5;117.9;0;5;0.0;24;0;31.55;0;0;4;0;4;0
2010-05-12 12:00:00;N;L;13;19;36;56;315;8.55;117.2;112;3;0.0;2;18;27.02608695652174;0;0;3;112;3;112
2010-03-27 12:00:00;N;B;7;10;47;10;202;7.6;91.5;247;7;0.0;24;0;19.39;3.8;0;7;247;7;247
2010-03-28 12:00:00;N;B;10;15;43;11;180;6.6;105.8;157;6;0.0;23;0;24.14608695652174;1.8;0;5;157;6;157
2010-04-10 12:00:00;N;L;7;52;38;43;292;8.25;118.1;22;3;0.0;24;0;31.01;0;0;3;22;3;22
2010-07-18 17:48:00;A;L;66;0;18;46;0;9.9;117.0;90;5;0.0;5;48;23.255172413793105;0;0;4;90;4;90
2010-06-09 12:00:00;N;B;18;26;40;26;157;6.6;118.0;180;2;0.0;1;54;20.842105263157894;1.8;0;2;180;0;135
2010-06-10 12:00:00;N;B;14;33;35;57;225;6.6;118.7;112;3;0.0;24;0;29.570000000000004;1.8;0;2;112;0;45
2010-06-11 01:42:00;A;B;12;48;32;41;112;6.6;118.6;112;5;0.0;13;42;29.430656934306572;1.8;0;4;112;3;112
2010-08-09 12:00:00;N;L;3;58;40;51;225;9.8;117.6;225;4;0.0;21;12;31.16603773584906;0;0;3;225;2;225
2010-08-10 12:00:00;N;L;1;1;37;21;225;9.785;118.1;225;3;0.0;24;0;31.38;-0.09;0;2;225;1;225
2010-08-11 12:00:00;N;L;8;49;35;2;225;9.8;117.6;90;3;0.0;25;0;31.4208;0;0;3;90;1;90
