FOC,PERC
36.0,34.17486
36.0,33.068787
36.0,33.298935
36.0,33.777893
37.44,34.584953
37.44,36.91697
36.0,32.86382
36.0,33.48915
36.0,31.248835
36.0,32.829727
36.0,31.015545
34.56,29.314693
34.56,29.811705
37.44,36.316727
36.0,30.43749
34.56,28.542522
38.88,37.14653
38.88,37.82447
38.88,35.955788
36.0,32.165447
36.0,32.00049
36.0,28.021526
36.0,30.845118
38.88,36.75305
37.44,36.001167
36.0,33.356613
37.44,38.485985
36.0,34.677906
36.0,33.16344
36.0,33.556904
34.56,29.698572
36.0,32.3003
36.0,32.733673
34.56,27.801216
34.56,29.476625
36.0,33.341835
36.0,32.220016
34.56,29.004236
36.0,31.575373
36.0,32.07144
34.56,29.18761
38.88,34.807285
38.88,38.376667
37.44,33.087666
34.56,30.148502
36.0,32.644714
34.56,28.492403
34.56,27.842907
34.56,27.517345
37.44,35.702297
36.0,32.595142
36.0,34.785374
37.44,36.368633
34.56,28.998684
38.88,38.961445
36.0,32.126514
34.56,29.27716
36.0,35.157143
36.0,33.89641
37.44,35.212418
34.56,30.082428
36.0,30.896133
38.88,37.0008
38.88,37.793903
36.0,36.341225
34.56,29.00992
36.0,32.67163
36.0,33.193546
36.0,32.151318
34.56,30.18899
36.0,32.75021
37.44,36.249306
34.56,31.287933
36.0,32.60727
36.0,33.946148
36.0,33.610672
37.44,37.785336
37.44,37.46845
36.0,35.16068
36.0,34.39169
34.56,31.369013
36.0,33.29877
36.0,33.65736
37.44,36.443626
34.56,29.297272
36.0,35.552086
36.0,31.560081
37.44,38.086708
37.44,36.50319
37.44,33.832638
38.88,39.69929
36.0,33.382797
36.0,33.96498
34.56,28.913698
36.0,32.395184
37.44,34.203156
36.0,31.47839
36.0,33.91719
36.0,32.895523
37.44,35.18126
36.0,33.0623
36.0,34.47484
37.44,35.341553
36.0,34.2968
34.56,30.806177
36.0,31.68335
36.0,32.86131
36.0,33.036266
36.0,33.932125
36.0,31.463009
36.0,34.613186
34.56,29.772198
38.88,40.064976
38.88,38.05339
37.44,33.710594
34.56,28.30215
36.0,33.939987
36.0,34.109177
36.0,33.00172
36.0,33.53855
36.0,32.328716
34.56,29.40999
34.56,30.795753
36.0,33.953953
36.0,31.888628
36.0,31.857777
36.0,33.60709
36.0,33.617714
36.0,32.184322
36.0,32.285725
36.0,30.867243
36.0,32.662617
36.0,34.73302
36.0,35.024704
37.44,37.74093
36.0,35.659897
37.44,35.825092
37.44,35.610626
36.0,31.928963
37.44,35.605362
36.0,32.977116
38.88,38.56497
37.44,37.320976
36.0,31.284449
36.0,33.503162
36.0,31.785625
33.12,26.53307
37.44,35.02314
37.44,35.86793
36.0,33.94454
34.56,32.424812
36.0,32.572243
36.0,33.288097
36.0,32.65986
36.0,31.50177
36.0,34.206253
37.44,34.362328
34.56,31.769505
36.0,32.215126
36.0,33.115852
34.56,30.138992
34.56,28.693277
36.0,32.910954
38.88,37.76317
37.44,35.990273
37.44,34.409622
36.0,32.084846
36.0,34.85707
37.44,35.812416
36.0,35.56405
36.0,34.806572
36.0,34.00759
36.0,36.324703
36.0,33.699593
37.44,36.488167
38.88,39.70813
36.0,34.37606
36.0,34.41004
36.0,34.719658
36.0,34.305397
37.44,37.287052
34.56,30.486097
34.56,29.933722
37.44,34.830868
37.44,37.291138
37.44,36.21406
36.0,35.872215
37.44,36.860573
38.88,39.20569
37.44,37.222378
36.0,34.80358
38.88,37.53784
38.88,37.100197
36.0,33.2157
36.0,34.29171
36.0,32.375706
36.0,34.80925
38.88,39.314564
38.88,38.319866
37.44,38.383987
37.44,12.5864935
36.0,34.868908
36.0,35.811295
37.44,16.830187
38.88,39.624958
36.0,33.691128
37.44,35.94674
37.44,37.234043
37.44,16.156466
36.0,31.300735
36.0,32.46336
36.0,11.08338
34.56,29.651484
37.44,35.96962
36.0,40.06853
34.56,28.330126
36.0,32.848976
36.0,38.454533
34.56,29.845467
34.56,28.945694
36.0,40.09137
36.0,32.135807
37.44,36.123478
37.44,43.71424
34.56,31.125101
36.0,33.01769
36.0,12.350808
38.88,37.333572
38.88,35.885513
37.44,14.330191
34.56,29.861671
34.56,28.582424
36.0,39.128155
36.0,33.005177
36.0,31.50586
33.12,0.9225187
36.0,34.18318
36.0,33.880814
36.0,9.052912
33.12,26.275421
34.56,27.793985
34.56,28.4594
34.56,27.448654
34.56,30.056316
34.56,27.610785
36.0,32.570778
