Terminal,Date,Latitude,Longitude,Course,Speed,Average Speed,Wind Speed,Wind Direction,Pressure,Significant Wave Height,Wind Wave Height,Swell Height,Wind Wave Direction,Swell Direction,Swell Period,Wind Wave Period,Current Speed ,Current Direction 
AIS.636013411.S-19,15.07.2019 12:34 Z,"51° 30' 22.11"" N","000° 33' 33.28"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,0.75m/s,082°
AIS.636013411.S-19,15.07.2019 12:28 Z,"51° 30' 22.14"" N","000° 33' 33.26"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,0.68m/s,082°
AIS.636013411.S-19,15.07.2019 12:22 Z,"51° 30' 22.27"" N","000° 33' 33.21"" E",081°,000.0 kn.,000.1 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,0.62m/s,081°
AIS.636013411.S-19,15.07.2019 12:19 Z,"51° 30' 22.06"" N","000° 33' 33.47"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,0.52m/s,081°
AIS.636013411.S-19,15.07.2019 12:13 Z,"51° 30' 22.31"" N","000° 33' 33.34"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,0.46m/s,078°
AIS.636013411.S-19,15.07.2019 12:07 Z,"51° 30' 22.20"" N","000° 33' 33.37"" E",081°,000.0 kn.,000.1 kn.,003.0m/s,032°,1021mb,0.9m,0.4m,0.8m,035°,015°,006sec,002sec,0.41m/s,076°
AIS.636013411.S-19,15.07.2019 12:04 Z,"51° 30' 22.03"" N","000° 33' 33.49"" E",081°,000.0 kn.,000.1 kn.,003.0m/s,032°,1021mb,0.9m,0.4m,0.8m,035°,015°,006sec,002sec,0.33m/s,075°
AIS.636013411.S-34,15.07.2019 12:01 Z,"51° 30' 22.14"" N","000° 33' 33.28"" E",080°,000.0 kn.,000.0 kn.,003.0m/s,032°,1021mb,0.9m,0.4m,0.8m,035°,015°,006sec,002sec,0.32m/s,074°
AIS.636013411.S-19,15.07.2019 11:58 Z,"51° 30' 22.10"" N","000° 33' 33.36"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,032°,1021mb,0.9m,0.4m,0.8m,035°,020°,006sec,003sec,0.27m/s,071°
AIS.636013411.S-19,15.07.2019 11:52 Z,"51° 30' 22.24"" N","000° 33' 33.37"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,032°,1021mb,0.9m,0.4m,0.8m,035°,020°,006sec,003sec,0.21m/s,066°
AIS.636013411.S-19,15.07.2019 11:49 Z,"51° 30' 22.21"" N","000° 33' 33.34"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,032°,1021mb,0.9m,0.4m,0.8m,035°,020°,006sec,003sec,0.16m/s,058°
AIS.636013411.S-19,15.07.2019 11:43 Z,"51° 30' 22.24"" N","000° 33' 33.34"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,032°,1021mb,0.9m,0.4m,0.8m,035°,020°,006sec,003sec,0.12m/s,032°
AIS.636013411.S-19,15.07.2019 11:37 Z,"51° 30' 22.13"" N","000° 33' 33.10"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,032°,1021mb,0.9m,0.4m,0.8m,035°,020°,006sec,003sec,0.12m/s,343°
AIS.636013411.S-19,15.07.2019 11:34 Z,"51° 30' 22.09"" N","000° 33' 32.98"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,032°,1021mb,0.9m,0.4m,0.8m,035°,020°,006sec,003sec,0.11m/s,335°
AIS.636013411.S-19,15.07.2019 11:28 Z,"51° 30' 22.29"" N","000° 33' 33.33"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,030°,1021mb,0.9m,0.4m,0.8m,035°,020°,006sec,003sec,0.19m/s,308°
