clusters,error,models,partitioners,var
1,0.871395438083,SplineRegressionModeler,KMeansPartitioner,66.5537777524
2,0.927250475605,SplineRegressionModeler,KMeansPartitioner,66.5537777524
3,0.982942038354,SplineRegressionModeler,KMeansPartitioner,66.5537777524
4,1.02108167101,SplineRegressionModeler,KMeansPartitioner,66.5537777524
5,1.24235784219,SplineRegressionModeler,KMeansPartitioner,66.5537777524
6,1.24235784219,SplineRegressionModeler,KMeansPartitioner,66.5537777524
7,1.23661532867,SplineRegressionModeler,KMeansPartitioner,66.5537777524
8,1.33067304781,SplineRegressionModeler,KMeansPartitioner,66.5537777524
9,1.31663911073,SplineRegressionModeler,KMeansPartitioner,66.5537777524
10,1.52172839835,SplineRegressionModeler,KMeansPartitioner,66.5537777524
11,1.78244550616,SplineRegressionModeler,KMeansPartitioner,66.5537777524
12,1.79537879355,SplineRegressionModeler,KMeansPartitioner,66.5537777524
13,1.8073456273,SplineRegressionModeler,KMeansPartitioner,66.5537777524
14,1.76127034182,SplineRegressionModeler,KMeansPartitioner,66.5537777524
15,1.82668427749,SplineRegressionModeler,KMeansPartitioner,66.5537777524
16,1.27289928481,SplineRegressionModeler,KMeansPartitioner,66.5537777524
17,1.62590009435,SplineRegressionModeler,KMeansPartitioner,66.5537777524
18,1.21607264163,SplineRegressionModeler,KMeansPartitioner,66.5537777524
19,1.39016789005,SplineRegressionModeler,KMeansPartitioner,66.5537777524
20,1.39016789005,SplineRegressionModeler,KMeansPartitioner,66.5537777524
21,1.39018301102,SplineRegressionModeler,KMeansPartitioner,66.5537777524
22,1.58367532404,SplineRegressionModeler,KMeansPartitioner,66.5537777524
23,1.61851628133,SplineRegressionModeler,KMeansPartitioner,66.5537777524
24,1.25559574799,SplineRegressionModeler,KMeansPartitioner,66.5537777524
25,1.24619685742,SplineRegressionModeler,KMeansPartitioner,66.5537777524
26,1.24698021432,SplineRegressionModeler,KMeansPartitioner,66.5537777524
27,1.53924528794,SplineRegressionModeler,KMeansPartitioner,66.5537777524
28,1.24619685742,SplineRegressionModeler,KMeansPartitioner,66.5537777524
29,1.2885564157,SplineRegressionModeler,KMeansPartitioner,66.5537777524
1,1.86019347785,LinearRegressionModeler,KMeansPartitioner,66.5537777524
2,1.57518187062,LinearRegressionModeler,KMeansPartitioner,66.5537777524
3,1.10079102153,LinearRegressionModeler,KMeansPartitioner,66.5537777524
4,1.03132968534,LinearRegressionModeler,KMeansPartitioner,66.5537777524
5,1.04836127036,LinearRegressionModeler,KMeansPartitioner,66.5537777524
