draft,windDir,ws,stwC,swh,dt,lat,lon,currSpeed,currDir,sovg,vslHeading
11.29,82.03425241257926,7.85,15.670949778019947,1.6,2019-12-03 05:36:14.669317,48.961667,-5.146667,0.03,345.5442524125792,15.7,59.455747587420746
11.29,81.56810368288842,7.85,15.671011667735213,1.6,2019-12-03 06:01:49.631776,49.017445,-5,0.03,345.0781036828884,15.7,59.92189631711159
11.29,81.47247973182297,7.85,15.671024600866131,1.6,2019-12-03 07:02:17.009265,49.148572,-4.652151,0.03,344.982479731823,15.7,60.01752026817704
11.29,79.51881253560687,5.71,15.671015620783427,1.37,2019-12-03 08:02:37.225105,49.2797,-4.304302,0.03,345.0488125356069,15.7,59.95118746439313
11.29,79.58515923568379,5.71,15.671006677680266,1.37,2019-12-03 09:02:50.255995,49.410827,-3.956453,0.03,345.1151592356838,15.7,59.8848407643162
11.29,93.78234950441075,6.1,15.670997660491064,1.21,2019-12-03 10:02:56.098460,49.541955,-3.608605,0.03,345.18234950441075,15.7,59.817650495589255
11.29,78.71941585155804,4.73,15.67098869970649,1.14,2019-12-03 11:02:54.744864,49.673082,-3.260756,0.03,345.24941585155807,15.7,59.75058414844196
11.29,78.81577292114413,4.73,15.670975894950656,1.14,2019-12-03 12:13:00.548365,49.826667,-2.853333,0.03,345.34577292114415,15.7,59.65422707885587
11.29,70.98709385562522,5.61,15.673872048060012,1.03,2019-12-03 13:13:23.736515,49.896611,-2.46098,0.03,330.5670938556252,15.7,74.43290614437477
11.29,75.34866443782896,4.39,16.147050614779207,1.09,2019-12-03 14:13:42.064434,49.966555,-2.068627,0.47,197.97866443782897,15.7,74.41133556217103
11.29,75.3705251143555,4.39,16.146995231537506,1.09,2019-12-03 15:13:55.531210,50.0365,-1.676274,0.47,198.0005251143555,15.7,74.38947488564449
11.29,58.592044723082296,5.88,16.146940648823144,0.97,2019-12-03 16:14:04.124962,50.106444,-1.283921,0.47,198.02204472308227,15.7,74.36795527691771
11.29,66.28385486614441,4.58,15.673849754542221,0.96,2019-12-03 17:14:07.844868,50.176388,-0.891568,0.03,330.6538548661444,15.7,74.34614513385559
11.29,69.95489158151342,3.54,15.673841794118506,0.79,2019-12-03 18:17:29.307683,50.250273,-0.477109,0.03,330.6848915815134,15.7,74.31510841848659
11.29,69.86169317105715,3.54,15.67386572110018,0.79,2019-12-03 19:17:46.969579,50.320205,-0.081931,0.03,330.59169317105716,15.7,74.40830682894286
11.29,116.85361072248936,0.67,15.673860087949986,0.79,2019-12-03 20:17:59.706883,50.390137,0.313247,0.03,330.61361072248934,15.7,74.38638927751065
11.29,37.06560957252151,1.8,15.7,0.47,2019-12-03 21:18:07.515071,50.460069,0.708425,0.0,285.6356095725215,15.7,74.3643904274785
11.29,47.77483417103144,1.46,15.7,0.3,2019-12-03 22:02:26.310252,50.511667,1,0.0,285.6148341710315,15.7,74.38516582896855
11.29,95.30137452823647,1.86,15.7,0.35,2019-12-03 23:10:38.454371,50.708333,1.35,0.0,311.5813745282365,15.7,48.41862547176353
11.29,125.91206777544393,1.86,15.7,0.35,2019-12-03 23:59:40.651380,50.911667,1.453333,0.0,342.19206777544395,15.7,17.807932224556065
11.29,106.99616750565328,1.86,15.7,0.35,2019-12-04 00:15:26.099832,50.966667,1.518333,0.0,323.2761675056533,15.7,36.72383249434672
11.29,98.8602413447932,1.86,15.7,0.35,2019-12-04 01:04:27.442641,51.11779,1.757655,0.0,315.1402413447932,15.7,44.859758655206804
11.29,98.67741079966378,1.86,15.7,0.35,2019-12-04 01:12:45.518044,51.143333,1.798333,0.0,314.95741079966376,15.7,45.042589200336224
11.29,49.34812027810645,0.73,15.7,0.32,2019-12-04 01:58:07.855340,51.233333,2.078333,0.0,297.19812027810644,15.7,62.80187972189353
11.29,88.84388523962951,0.73,15.7,0.32,2019-12-04 02:18:07.912028,51.313333,2.133333,0.0,336.69388523962954,15.7,23.306114760370466
11.29,148.5635824765415,0.73,15.7,0.32,2019-12-04 02:47:09.164542,51.415,2.013333,0.0,216.41358247654154,15.7,143.58641752345846
11.29,149.6755302134663,0.73,15.7,0.32,2019-12-04 02:57:46.176214,51.451667,1.96825,0.0,217.5255302134663,15.7,142.4744697865337
11.29,13.25275710167736,4.59,15.67448468355645,0.39,2019-12-04 03:50:39.850377,51.675878,2.053292,0.03,31.73275710167735,15.7,13.26724289832265
11.29,106.02740634194174,5.01,15.696444030308339,0.32,2019-12-04 04:32:25.867408,51.788133,1.82275,0.03,276.8074063419417,15.7,128.19259365805826
