FOC_pred,FOC_act,PERC,stw
25.69,24.4,5.278353,12.86
57.82,54.6,5.893973,16.48
26.13,25.18,3.7874353,13.03
67.48,65.64,2.8097186,17.58
31.46,32.21,2.3295414,14.1
95.45,98.39,2.9866765,20.5
36.32,38.03,4.496799,14.85
46.51,43.53,6.844433,15.82
82.64,81.39,1.5412426,18.84
49.62,54.48,8.91906,15.42
59.25,59.91,1.098494,17.06
69.45,66.46,4.501262,17.4
62.96,62.74,0.3475667,17.47
33.65,30.8,9.249551,13.6
28.63,23.47,21.968618,12.39
51.13,47.07,8.621921,16.16
47.63,47.72,0.18496324,14.99
44.6,40.88,9.098258,14.84
64.65,64.13,0.81758136,17.34
62.4,61.0,2.3025324,17.44
57.93,59.74,3.0345297,16.92
85.46,81.34,5.061129,19.31
38.4,42.11,8.812838,14.78
46.2,43.73,5.6568832,15.48
46.01,42.79,7.523369,15.87
75.33,70.96,6.16494,18.23
94.43,96.63,2.2816176,20.27
60.19,57.07,5.4595757,17.04
26.65,25.41,4.881559,13.37
75.31,73.31,2.7325222,18.47
38.38,37.4,2.607468,15.07
66.59,62.57,6.419775,17.13
47.87,42.89,11.613338,15.3
52.71,49.99,5.4380918,16.28
24.91,23.12,7.7584953,12.54
27.71,28.2,1.7204418,12.56
73.64,69.58,5.8375726,17.74
25.61,22.63,13.156846,12.46
27.13,24.67,9.9916,13.1
31.01,24.65,25.791533,12.68
79.22,79.16,0.07567711,18.71
53.72,55.0,2.3245518,16.39
82.61,80.02,3.236267,18.93
35.52,37.44,5.124135,14.83
57.45,55.65,3.242575,16.76
39.44,37.73,4.519107,14.98
60.11,55.39,8.516238,16.58
42.38,41.58,1.9125229,15.05
38.59,37.27,3.5467267,15.08
47.11,49.11,4.0823555,15.77
50.04,48.57,3.0283449,15.22
67.03,64.55,3.8349793,17.55
69.41,67.26,3.2006025,17.68
73.8,69.0,6.9522805,17.88
29.9,29.87,0.111452505,12.28
74.08,71.8,3.1780145,17.98
84.54,83.67,1.0451823,18.95
90.95,83.33,9.148708,19.65
85.22,79.54,7.1359396,19.0
27.28,25.68,6.248951,12.54
80.39,76.14,5.58525,18.67
61.67,59.48,3.6792655,17.24
60.99,60.0,1.6537348,17.25
41.05,39.13,4.9180155,15.39
24.88,22.17,12.23334,12.33
29.71,30.76,3.4097328,14.04
33.67,32.53,3.5102136,14.24
51.7,54.3,4.7880216,15.6
59.6,60.24,1.0679379,16.48
50.71,47.6,6.5275164,16.09
73.95,74.13,0.24931128,18.0
84.91,82.35,3.1058724,19.18
